"cowcode","stateabb","statename","ethnicity_relevant","year_from","year_to","group_name","size","status","warid","warid2","groupid","cowgroupid","markertype","serialid"
"20","CAN","Canada","Yes","1946","1981","Aboriginal peoples","0.02","POWERLESS",,,"4000","2004000","Ethno-Racial","21"
"20","CAN","Canada","Yes","1982","2010","English speakers","0.59","SENIOR PARTNER",,,"1000","2001000","Ethno-Linguistic","22"
"20","CAN","Canada","Yes","1982","2010","French speakers","0.23","JUNIOR PARTNER",,,"2000","2002000","Ethno-Linguistic","23"
"20","CAN","Canada","Yes","1982","2010","Aboriginal peoples","0.028","REGIONAL AUTONOMY",,,"4000","2004000","Ethno-Racial","24"
"40","CUB","Cuba","Yes","1946","1959","Whites","0.67","DOMINANT",,,"1000","4001000","Ethno-Racial","25"
"40","CUB","Cuba","Yes","1946","1959","Blacks","0.33","POWERLESS",,,"2000","4002000","Ethno-Racial","26"
"40","CUB","Cuba","No","1960","2010","Whites","0.67","IRRELEVANT",,,"1000","4001000","Ethno-Racial","27"
"40","CUB","Cuba","No","1960","2010","Blacks","0.33","IRRELEVANT",,,"2000","4002000","Ethno-Racial","28"
"41","HAI","Haiti","Yes","1946","1956","Blacks","0.95","JUNIOR PARTNER",,,"1000","4101000","Ethno-Racial","29"
"41","HAI","Haiti","Yes","1946","1956","Mulatto","0.05","SENIOR PARTNER",,,"2000","4102000","Ethno-Racial","30"
"41","HAI","Haiti","Yes","1957","2010","Blacks","0.95","SENIOR PARTNER",,,"1000","4101000","Ethno-Racial","31"
"41","HAI","Haiti","Yes","1957","2010","Mulatto","0.05","JUNIOR PARTNER",,,"2000","4102000","Ethno-Racial","32"
"42","DOM","Dominican Republic","Yes","1946","2010","Dominicans","0.93","MONOPOLY",,,"1000","4201000","Ethno-Linguistic","33"
"42","DOM","Dominican Republic","Yes","1946","2010","Haitians","0.07","DISCRIMINATED",,,"2000","4202000","Ethno-Linguistic","34"
"51","JAM","Jamaica","No","1962","2010","",,"",,,,,"","35"
"52","TRI","Trinidad and Tobago","Yes","1962","1985","East Indians","0.403","POWERLESS",,,"1000","5201000","Ethno-Racial","36"
"52","TRI","Trinidad and Tobago","Yes","1962","1985","Blacks","0.396","DOMINANT",,,"2000","5202000","Ethno-Racial","37"
"52","TRI","Trinidad and Tobago","Yes","1986","1990","East Indians","0.403","SENIOR PARTNER",,,"1000","5201000","Ethno-Racial","38"
"52","TRI","Trinidad and Tobago","Yes","1986","1990","Blacks","0.396","JUNIOR PARTNER","28500",,"2000","5202000","Ethno-Racial","39"
"52","TRI","Trinidad and Tobago","Yes","1991","1994","East Indians","0.403","POWERLESS",,,"1000","5201000","Ethno-Racial","40"
"52","TRI","Trinidad and Tobago","Yes","1991","1994","Blacks","0.396","DOMINANT",,,"2000","5202000","Ethno-Racial","41"
"52","TRI","Trinidad and Tobago","Yes","1995","2001","East Indians","0.403","DOMINANT",,,"1000","5201000","Ethno-Racial","42"
"52","TRI","Trinidad and Tobago","Yes","1995","2001","Blacks","0.396","POWERLESS",,,"2000","5202000","Ethno-Racial","43"
"52","TRI","Trinidad and Tobago","Yes","2002","2010","East Indians","0.403","POWERLESS",,,"1000","5201000","Ethno-Racial","44"
"52","TRI","Trinidad and Tobago","Yes","2002","2010","Blacks","0.396","DOMINANT",,,"2000","5202000","Ethno-Racial","45"
"70","MEX","Mexico","Yes","1946","1974","Mestizo","0.85","DOMINANT",,,"1000","7001000","Ethno-Racial","46"
"70","MEX","Mexico","Yes","1946","1974","Indigenous peoples","0.11","DISCRIMINATED",,,"2000","7002000","Ethno-Cultural","47"
"70","MEX","Mexico","Yes","1946","1974","Afromexicans","0.005","DISCRIMINATED",,,"9000","7009000","Ethno-Racial","48"
"70","MEX","Mexico","Yes","1975","1994","Mestizo","0.85","DOMINANT",,,"1000","7001000","Ethno-Racial","49"
"70","MEX","Mexico","Yes","1975","1994","Indigenous peoples","0.11","POWERLESS","30800",,"2000","7002000","Ethno-Cultural","50"
"70","MEX","Mexico","Yes","1975","1994","Afromexicans","0.005","IRRELEVANT",,,"9000","7009000","Ethno-Racial","51"
"70","MEX","Mexico","Yes","1995","2010","Mestizo","0.85","DOMINANT",,,"1000","7001000","Ethno-Racial","52"
"70","MEX","Mexico","Yes","1995","2010","Indigenous peoples","0.11","REGIONAL AUTONOMY",,,"2000","7002000","Ethno-Cultural","53"
"70","MEX","Mexico","Yes","1995","2010","Afromexicans","0.005","IRRELEVANT",,,"9000","7009000","Ethno-Racial","54"
"90","GUA","Guatemala","Yes","1946","1990","Guatemalans (Mestizo)","0.6","MONOPOLY",,,"1000","9001000","Mixed Category","55"
"90","GUA","Guatemala","Yes","1946","1990","Indigenous peoples","0.392","DISCRIMINATED","13601",,"2000","9002000","Ethno-Linguistic","56"
"90","GUA","Guatemala","Yes","1991","2010","Guatemalans (Mestizo)","0.6","DOMINANT",,,"1000","9001000","Mixed Category","57"
"90","GUA","Guatemala","Yes","1991","2010","Indigenous peoples","0.392","POWERLESS","13601",,"2000","9002000","Ethno-Linguistic","58"
"91","HON","Honduras","Yes","1946","1978","Hondurans","0.91","MONOPOLY",,,"1000","9101000","Mixed Category","59"
"91","HON","Honduras","Yes","1946","1978","Garifunas and other groups","0.068","IRRELEVANT",,,"2000","9102000","Ethno-Racial","60"
"91","HON","Honduras","Yes","1979","2010","Hondurans","0.91","DOMINANT",,,"1000","9101000","Mixed Category","61"
"91","HON","Honduras","Yes","1979","2010","Garifunas and other groups","0.068","POWERLESS",,,"2000","9102000","Ethno-Racial","62"
"92","SAL","El Salvador","No","1946","2010","",,"",,,,,"","63"
"93","NIC","Nicaragua","No","1946","1964","Nicaraguans (Mestizo)","0.845","IRRELEVANT",,,"1000","9301000","Mixed Category","64"
"93","NIC","Nicaragua","No","1946","1964","Afronicaraguans","0.09","IRRELEVANT",,,"2000","9302000","Ethno-Racial","65"
"93","NIC","Nicaragua","No","1946","1964","Miskitos","0.04","IRRELEVANT",,,"3000","9303000","Ethno-Linguistic","66"
"93","NIC","Nicaragua","No","1946","1964","Mayangnas and other indigenous","0.0095","IRRELEVANT",,,"5000","9305000","Ethno-Linguistic","67"
"93","NIC","Nicaragua","Yes","1965","1973","Nicaraguans (Mestizo)","0.845","MONOPOLY",,,"1000","9301000","Mixed Category","68"
"93","NIC","Nicaragua","Yes","1965","1973","Afronicaraguans","0.09","POWERLESS",,,"2000","9302000","Ethno-Racial","69"
"93","NIC","Nicaragua","Yes","1965","1973","Miskitos","0.04","IRRELEVANT",,,"3000","9303000","Ethno-Linguistic","70"
"93","NIC","Nicaragua","Yes","1965","1973","Mayangnas and other indigenous","0.0095","IRRELEVANT",,,"5000","9305000","Ethno-Linguistic","71"
"93","NIC","Nicaragua","Yes","1974","2010","Nicaraguans (Mestizo)","0.845","MONOPOLY",,,"1000","9301000","Mixed Category","72"
"93","NIC","Nicaragua","Yes","1974","2010","Afronicaraguans","0.09","POWERLESS",,,"2000","9302000","Ethno-Racial","73"
"93","NIC","Nicaragua","Yes","1974","2010","Miskitos","0.04","POWERLESS","24001",,"3000","9303000","Ethno-Linguistic","74"
"93","NIC","Nicaragua","Yes","1974","2010","Mayangnas and other indigenous","0.0095","POWERLESS",,,"5000","9305000","Ethno-Linguistic","75"
"94","COS","Costa Rica","Yes","1946","1948","Costa Ricans","0.93","MONOPOLY",,,"1000","9401000","Ethno-Racial","76"
"94","COS","Costa Rica","Yes","1946","1948","Afrocosta Ricans","0.02","DISCRIMINATED",,,"2000","9402000","Ethno-Racial","77"
"94","COS","Costa Rica","Yes","1949","2010","Costa Ricans","0.93","DOMINANT",,,"1000","9401000","Ethno-Racial","78"
"94","COS","Costa Rica","Yes","1949","2010","Afrocosta Ricans","0.02","POWERLESS",,,"2000","9402000","Ethno-Racial","79"
"95","PAN","Panama","Yes","1946","1972","Panamans","0.853","DOMINANT",,,"1000","9501000","Mixed Category","80"
"95","PAN","Panama","Yes","1946","1972","Afropanamenos","0.071","POWERLESS",,,"2000","9502000","Ethno-Racial","81"
"95","PAN","Panama","Yes","1946","1972","Kuna Yala","0.011","REGIONAL AUTONOMY",,,"3100","9503100","Ethno-Linguistic","82"
"95","PAN","Panama","Yes","1973","1983","Panamans","0.853","DOMINANT",,,"1000","9501000","Mixed Category","83"
"95","PAN","Panama","Yes","1973","1983","Afropanamenos","0.071","POWERLESS",,,"2000","9502000","Ethno-Racial","84"
"95","PAN","Panama","Yes","1973","1983","Kuna Yala","0.011","REGIONAL AUTONOMY",,,"3100","9503100","Ethno-Linguistic","85"
"95","PAN","Panama","Yes","1973","1983","Ember-Drua","0.003","POWERLESS",,,"4000","9504000","Ethno-Linguistic","86"
"95","PAN","Panama","Yes","1973","1983","Kuna de Madungandi","0.001","POWERLESS",,,"3200","9503200","Ethno-Linguistic","87"
"95","PAN","Panama","Yes","1973","1983","Ng_be-Bugl_","0.039","POWERLESS",,,"5000","9505000","Ethno-Linguistic","88"
"95","PAN","Panama","Yes","1973","1983","Kuna de Wargandi","0.001","POWERLESS",,,"3300","9503300","Ethno-Linguistic","89"
"95","PAN","Panama","Yes","1984","1996","Panamans","0.853","DOMINANT",,,"1000","9501000","Mixed Category","90"
"95","PAN","Panama","Yes","1984","1996","Afropanamenos","0.071","POWERLESS",,,"2000","9502000","Ethno-Racial","91"
"95","PAN","Panama","Yes","1984","1996","Kuna Yala","0.011","REGIONAL AUTONOMY",,,"3100","9503100","Ethno-Linguistic","92"
"95","PAN","Panama","Yes","1984","1996","Ember-Drua","0.003","REGIONAL AUTONOMY",,,"4000","9504000","Ethno-Linguistic","93"
"95","PAN","Panama","Yes","1984","1996","Kuna de Madungandi","0.001","POWERLESS",,,"3200","9503200","Ethno-Linguistic","94"
"95","PAN","Panama","Yes","1984","1996","Ng_be-Bugl_","0.039","POWERLESS",,,"5000","9505000","Ethno-Linguistic","95"
"95","PAN","Panama","Yes","1984","1996","Kuna de Wargandi","0.001","POWERLESS",,,"3300","9503300","Ethno-Linguistic","96"
"95","PAN","Panama","Yes","1997","1998","Panamans","0.853","DOMINANT",,,"1000","9501000","Mixed Category","97"
"95","PAN","Panama","Yes","1997","1998","Afropanamenos","0.071","POWERLESS",,,"2000","9502000","Ethno-Racial","98"
"95","PAN","Panama","Yes","1997","1998","Kuna Yala","0.011","REGIONAL AUTONOMY",,,"3100","9503100","Ethno-Linguistic","99"
"95","PAN","Panama","Yes","1997","1998","Ember-Drua","0.003","REGIONAL AUTONOMY",,,"4000","9504000","Ethno-Linguistic","100"
"95","PAN","Panama","Yes","1997","1998","Kuna de Madungandi","0.001","REGIONAL AUTONOMY",,,"3200","9503200","Ethno-Linguistic","101"
"95","PAN","Panama","Yes","1997","1998","Ng_be-Bugl_","0.039","POWERLESS",,,"5000","9505000","Ethno-Linguistic","102"
"95","PAN","Panama","Yes","1997","1998","Kuna de Wargandi","0.001","POWERLESS",,,"3300","9503300","Ethno-Linguistic","103"
"95","PAN","Panama","Yes","1999","2000","Panamans","0.853","DOMINANT",,,"1000","9501000","Mixed Category","104"
"95","PAN","Panama","Yes","1999","2000","Afropanamenos","0.071","POWERLESS",,,"2000","9502000","Ethno-Racial","105"
"95","PAN","Panama","Yes","1999","2000","Kuna Yala","0.011","REGIONAL AUTONOMY",,,"3100","9503100","Ethno-Linguistic","106"
"95","PAN","Panama","Yes","1999","2000","Ember-Drua","0.003","REGIONAL AUTONOMY",,,"4000","9504000","Ethno-Linguistic","107"
"95","PAN","Panama","Yes","1999","2000","Kuna de Madungandi","0.001","REGIONAL AUTONOMY",,,"3200","9503200","Ethno-Linguistic","108"
"95","PAN","Panama","Yes","1999","2000","Ng_be-Bugl_","0.039","REGIONAL AUTONOMY",,,"5000","9505000","Ethno-Linguistic","109"
"95","PAN","Panama","Yes","1999","2000","Kuna de Wargandi","0.001","POWERLESS",,,"3300","9503300","Ethno-Linguistic","110"
"95","PAN","Panama","Yes","2001","2010","Panamans","0.853","DOMINANT",,,"1000","9501000","Mixed Category","111"
"95","PAN","Panama","Yes","2001","2010","Afropanamenos","0.071","POWERLESS",,,"2000","9502000","Ethno-Racial","112"
"95","PAN","Panama","Yes","2001","2010","Kuna Yala","0.011","REGIONAL AUTONOMY",,,"3100","9503100","Ethno-Linguistic","113"
"95","PAN","Panama","Yes","2001","2010","Ember-Drua","0.003","REGIONAL AUTONOMY",,,"4000","9504000","Ethno-Linguistic","114"
"95","PAN","Panama","Yes","2001","2010","Kuna de Madungandi","0.001","REGIONAL AUTONOMY",,,"3200","9503200","Ethno-Linguistic","115"
"95","PAN","Panama","Yes","2001","2010","Ng_be-Bugl_","0.039","REGIONAL AUTONOMY",,,"5000","9505000","Ethno-Linguistic","116"
"95","PAN","Panama","Yes","2001","2010","Kuna de Wargandi","0.001","REGIONAL AUTONOMY",,,"3300","9503300","Ethno-Linguistic","117"
"100","COL","Colombia","Yes","1946","1991","Columbians","0.73","MONOPOLY",,,"1000","10001000","Mixed Category","118"
"100","COL","Colombia","Yes","1946","1991","Afrocolumbians","0.234","DISCRIMINATED",,,"2000","10002000","Ethno-Racial","119"
"100","COL","Colombia","Yes","1946","1991","Indigenous peoples","0.017","DISCRIMINATED",,,"3000","10003000","Ethno-Cultural","120"
"100","COL","Colombia","Yes","1992","2010","Columbians","0.73","DOMINANT",,,"1000","10001000","Mixed Category","121"
"100","COL","Colombia","Yes","1992","2010","Afrocolumbians","0.23","REGIONAL AUTONOMY",,,"2000","10002000","Ethno-Racial","122"
"100","COL","Colombia","Yes","1992","2010","Indigenous peoples","0.017","REGIONAL AUTONOMY",,,"3000","10003000","Ethno-Cultural","123"
"101","Ven","Venezuela","No","1946","1988","Venezuelans","0.862","IRRELEVANT",,,"1000","10101000","Mixed Category","124"
"101","Ven","Venezuela","No","1946","1988","Afrovenezuelans","0.1","IRRELEVANT",,,"2000","10102000","Ethno-Racial","125"
"101","Ven","Venezuela","No","1946","1988","Indigenous peoples","0.02","IRRELEVANT",,,"3000","10103000","Ethno-Linguistic","126"
"101","Ven","Venezuela","Yes","1989","1999","Venezuelans","0.862","DOMINANT",,,"1000","10101000","Mixed Category","127"
"101","Ven","Venezuela","Yes","1989","1999","Afrovenezuelans","0.1","IRRELEVANT",,,"2000","10102000","Ethno-Racial","128"
"101","Ven","Venezuela","Yes","1989","1999","Indigenous peoples","0.02","POWERLESS",,,"3000","10103000","Ethno-Linguistic","129"
"101","Ven","Venezuela","Yes","2000","2010","Venezuelans","0.862","DOMINANT",,,"1000","10101000","Mixed Category","130"
"101","Ven","Venezuela","Yes","2000","2010","Afrovenezuelans","0.1","POWERLESS",,,"2000","10102000","Ethno-Racial","131"
"101","Ven","Venezuela","Yes","2000","2010","Indigenous peoples","0.02","POWERLESS",,,"3000","10103000","Ethno-Linguistic","132"
"130","ECU","Ecuador","Yes","1946","1979","Ecuadorians","0.69","MONOPOLY",,,"2000","13002000","Mixed Category","133"
"130","ECU","Ecuador","Yes","1946","1979","Indigenous peoples","0.25","DISCRIMINATED",,,"4000","13004000","Ethno-Cultural","134"
"130","ECU","Ecuador","Yes","1946","1979","Afroecuadorians","0.06","IRRELEVANT",,,"5000","13005000","Ethno-Racial","135"
"130","ECU","Ecuador","Yes","1980","1984","Ecuadorians","0.69","MONOPOLY",,,"2000","13002000","Mixed Category","136"
"130","ECU","Ecuador","Yes","1980","1984","Indigenous peoples","0.25","DISCRIMINATED",,,"4000","13004000","Ethno-Cultural","137"
"130","ECU","Ecuador","Yes","1980","1984","Afroecuadorians","0.06","IRRELEVANT",,,"5000","13005000","Ethno-Racial","138"
"130","ECU","Ecuador","Yes","1985","2010","Ecuadorians","0.69","DOMINANT",,,"2000","13002000","Mixed Category","139"
"130","ECU","Ecuador","Yes","1985","2010","Indigenous peoples","0.25","POWERLESS",,,"4000","13004000","Ethno-Cultural","140"
"130","ECU","Ecuador","Yes","1985","2010","Afroecuadorians","0.06","POWERLESS",,,"5000","13005000","Ethno-Racial","141"
"135","PER","Peru","Yes","1946","1974","Amazonian Indigenous","0.01","IRRELEVANT",,,"1000","13501000","Ethno-Linguistic","142"
"135","PER","Peru","Yes","1946","1974","Highland Indigenous","0.44","DISCRIMINATED",,,"3000","13503000","Ethno-Linguistic","143"
"135","PER","Peru","Yes","1946","1974","Peruvians","0.425","MONOPOLY",,,"2000","13502000","Mixed Category","144"
"135","PER","Peru","Yes","1975","1979","Amazonian Indigenous","0.01","DISCRIMINATED",,,"1000","13501000","Ethno-Linguistic","145"
"135","PER","Peru","Yes","1975","1979","Highland Indigenous","0.44","DISCRIMINATED",,,"3000","13503000","Ethno-Linguistic","146"
"135","PER","Peru","Yes","1975","1979","Peruvians","0.425","MONOPOLY",,,"2000","13502000","Mixed Category","147"
"135","PER","Peru","Yes","1980","2010","Amazonian Indigenous","0.01","POWERLESS",,,"1000","13501000","Ethno-Linguistic","148"
"135","PER","Peru","Yes","1980","2010","Highland Indigenous","0.44","POWERLESS",,,"3000","13503000","Ethno-Linguistic","149"
"135","PER","Peru","Yes","1980","2010","Peruvians","0.425","DOMINANT",,,"2000","13502000","Mixed Category","150"
"140","BRA","Brazil","No","1946","1977","Whites","0.537","IRRELEVANT",,,"1000","14001000","Ethno-Racial","151"
"140","BRA","Brazil","No","1946","1977","Browns","0.384","IRRELEVANT",,,"2000","14002000","Ethno-Racial","152"
"140","BRA","Brazil","No","1946","1977","Blacks","0.062","IRRELEVANT",,,"3000","14003000","Ethno-Racial","153"
"140","BRA","Brazil","No","1946","1977","Indigenous peoples","0.0043","IRRELEVANT",,,"4000","14004000","Ethno-Linguistic","154"
"140","BRA","Brazil","Yes","1978","1988","Whites","0.537","DOMINANT",,,"1000","14001000","Ethno-Racial","155"
"140","BRA","Brazil","Yes","1978","1988","Browns","0.384","IRRELEVANT",,,"2000","14002000","Ethno-Racial","156"
"140","BRA","Brazil","Yes","1978","1988","Blacks","0.062","POWERLESS",,,"3000","14003000","Ethno-Racial","157"
"140","BRA","Brazil","Yes","1978","1988","Indigenous peoples","0.0043","IRRELEVANT",,,"4000","14004000","Ethno-Linguistic","158"
"140","BRA","Brazil","Yes","1989","2010","Whites","0.537","DOMINANT",,,"1000","14001000","Ethno-Racial","159"
"140","BRA","Brazil","Yes","1989","2010","Browns","0.384","IRRELEVANT",,,"2000","14002000","Ethno-Racial","160"
"140","BRA","Brazil","Yes","1989","2010","Blacks","0.062","POWERLESS",,,"3000","14003000","Ethno-Racial","161"
"140","BRA","Brazil","Yes","1989","2010","Indigenous peoples","0.0043","POWERLESS",,,"4000","14004000","Ethno-Linguistic","162"
"145","BOL","Bolivia","Yes","1946","1952","Bolivians","0.35","MONOPOLY",,,"4000","14504000","Mixed Category","163"
"145","BOL","Bolivia","Yes","1946","1952","Aymara  and  Quechua","0.6","DISCRIMINATED","10101",,"1000","14501000","Ethno-Linguistic","164"
"145","BOL","Bolivia","Yes","1946","1952","Other Indigenous Groups","0.032","IRRELEVANT",,,"2000","14502000","Ethno-Linguistic","165"
"145","BOL","Bolivia","Yes","1946","1952","Afro-Bolivians","0.003","IRRELEVANT",,,"3000","14503000","Ethno-Racial","166"
"145","BOL","Bolivia","Yes","1953","1982","Bolivians","0.35","DOMINANT",,,"4000","14504000","Mixed Category","167"
"145","BOL","Bolivia","Yes","1953","1982","Aymara  and  Quechua","0.6","POWERLESS",,,"1000","14501000","Ethno-Linguistic","168"
"145","BOL","Bolivia","Yes","1953","1982","Other Indigenous Groups","0.032","IRRELEVANT",,,"2000","14502000","Ethno-Linguistic","169"
"145","BOL","Bolivia","Yes","1953","1982","Afro-Bolivians","0.003","IRRELEVANT",,,"3000","14503000","Ethno-Racial","170"
"145","BOL","Bolivia","Yes","1983","1994","Bolivians","0.35","DOMINANT",,,"4000","14504000","Mixed Category","171"
"145","BOL","Bolivia","Yes","1983","1994","Aymara  and  Quechua","0.6","POWERLESS",,,"1000","14501000","Ethno-Linguistic","172"
"145","BOL","Bolivia","Yes","1983","1994","Other Indigenous Groups","0.032","POWERLESS",,,"2000","14502000","Ethno-Linguistic","173"
"145","BOL","Bolivia","Yes","1983","1994","Afro-Bolivians","0.003","IRRELEVANT",,,"3000","14503000","Ethno-Racial","174"
"145","BOL","Bolivia","Yes","1995","2005","Bolivians","0.35","DOMINANT",,,"4000","14504000","Mixed Category","175"
"145","BOL","Bolivia","Yes","1995","2005","Aymara  and  Quechua","0.6","POWERLESS",,,"1000","14501000","Ethno-Linguistic","176"
"145","BOL","Bolivia","Yes","1995","2005","Other Indigenous Groups","0.032","POWERLESS",,,"2000","14502000","Ethno-Linguistic","177"
"145","BOL","Bolivia","Yes","1995","2005","Afro-Bolivians","0.003","POWERLESS",,,"3000","14503000","Ethno-Racial","178"
"145","BOL","Bolivia","Yes","2006","2010","Bolivians","0.35","JUNIOR PARTNER",,,"4000","14504000","Mixed Category","179"
"145","BOL","Bolivia","Yes","2006","2010","Aymara  and  Quechua","0.6","SENIOR PARTNER",,,"1000","14501000","Ethno-Linguistic","180"
"145","BOL","Bolivia","Yes","2006","2010","Other Indigenous Groups","0.032","POWERLESS",,,"2000","14502000","Ethno-Linguistic","181"
"145","BOL","Bolivia","Yes","2006","2010","Afro-Bolivians","0.003","POWERLESS",,,"3000","14503000","Ethno-Racial","182"
"150","PAR","Paraguay","Yes","1946","1992","Paraguayans","0.943","MONOPOLY",,,"1000","15001000","Ethno-Linguistic","183"
"150","PAR","Paraguay","Yes","1946","1992","Indigenous peoples","0.018","DISCRIMINATED",,,"5000","15005000","Ethno-Linguistic","184"
"150","PAR","Paraguay","Yes","1993","2010","Paraguayans","0.943","MONOPOLY",,,"1000","15001000","Ethno-Linguistic","185"
"150","PAR","Paraguay","Yes","1993","2010","Indigenous peoples","0.018","POWERLESS",,,"5000","15005000","Ethno-Linguistic","186"
"155","CHL","Chile","Yes","1946","1973","Chileans","0.92","DOMINANT",,,"1000","15501000","Mixed Category","187"
"155","CHL","Chile","Yes","1946","1973","Indigenous peoples","0.04","POWERLESS",,,"2000","15502000","Ethno-Linguistic","188"
"155","CHL","Chile","Yes","1974","1989","Chileans","0.92","MONOPOLY",,,"1000","15501000","Mixed Category","189"
"155","CHL","Chile","Yes","1974","1989","Indigenous peoples","0.04","DISCRIMINATED",,,"2000","15502000","Ethno-Linguistic","190"
"155","CHL","Chile","Yes","1990","2010","Chileans","0.92","DOMINANT",,,"1000","15501000","Mixed Category","191"
"155","CHL","Chile","Yes","1990","2010","Indigenous peoples","0.04","POWERLESS",,,"2000","15502000","Ethno-Linguistic","192"
"160","ARG","Argentina","Yes","1946","1988","Argentinians","0.83","MONOPOLY",,,"1000","16001000","Mixed Category","193"
"160","ARG","Argentina","Yes","1946","1988","Indigenous peoples","0.01","DISCRIMINATED",,,"5000","16005000","Ethno-Linguistic","194"
"160","ARG","Argentina","Yes","1989","2010","Argentinians","0.83","DOMINANT",,,"1000","16001000","Mixed Category","195"
"160","ARG","Argentina","Yes","1989","2010","Indigenous peoples","0.01","POWERLESS",,,"5000","16005000","Ethno-Linguistic","196"
"165","URU","Uruguay","No","1946","1988","Uruguayans","0.95","IRRELEVANT",,,"1000","16501000","Ethno-Racial","197"
"165","URU","Uruguay","No","1946","1988","Afro-Uruguayans","0.05","IRRELEVANT",,,"2000","16502000","Ethno-Racial","198"
"165","URU","Uruguay","Yes","1989","2010","Uruguayans","0.92","DOMINANT",,,"1000","16501000","Ethno-Racial","199"
"165","URU","Uruguay","Yes","1989","2010","Afro-Uruguayans","0.08","POWERLESS",,,"2000","16502000","Ethno-Racial","200"
"200","UK","United Kingdom","Yes","1946","1963","English","0.815","SENIOR PARTNER",,,"1000","20001000","Mixed Category","201"
"200","UK","United Kingdom","Yes","1946","1963","Scots","0.095","JUNIOR PARTNER",,,"2000","20002000","Ethno-Regional","202"
"200","UK","United Kingdom","Yes","1946","1963","Asians","0.028","IRRELEVANT",,,"3000","20003000","Ethno-Regional","203"
"200","UK","United Kingdom","Yes","1946","1963","Afro-Caribbeans","0.02","IRRELEVANT",,,"4000","20004000","Ethno-Racial","204"
"200","UK","United Kingdom","Yes","1946","1963","Welsh","0.019","IRRELEVANT",,,"5000","20005000","Ethno-Linguistic","205"
"200","UK","United Kingdom","Yes","1946","1963","Catholics In N. Ireland","0.012","DISCRIMINATED","21900",,"6000","20006000","Ethno-Religious","206"
"200","UK","United Kingdom","Yes","1946","1963","Protestants In N. Ireland","0.01","REGIONAL AUTONOMY",,,"7000","20007000","Ethno-Religious","207"
"200","UK","United Kingdom","Yes","1964","1971","English","0.815","SENIOR PARTNER",,,"1000","20001000","Mixed Category","208"
"200","UK","United Kingdom","Yes","1964","1971","Scots","0.095","JUNIOR PARTNER",,,"2000","20002000","Ethno-Regional","209"
"200","UK","United Kingdom","Yes","1964","1971","Asians","0.028","IRRELEVANT",,,"3000","20003000","Ethno-Regional","210"
"200","UK","United Kingdom","Yes","1964","1971","Afro-Caribbeans","0.02","IRRELEVANT",,,"4000","20004000","Ethno-Racial","211"
"200","UK","United Kingdom","Yes","1964","1971","Welsh","0.019","JUNIOR PARTNER",,,"5000","20005000","Ethno-Linguistic","212"
"200","UK","United Kingdom","Yes","1964","1971","Catholics In N. Ireland","0.012","DISCRIMINATED","21900",,"6000","20006000","Ethno-Religious","213"
